,trueAlpha,trueTau,recovAlpha,recoveTau,cost,r
0,0.6018673612409703,0.2930424878829679,0.8729026176808848,0.8474656269172418,794.0,"(0.4142641328682813, 0.0013572455147242615)"
0,0.4334451427510385,0.9752827610726001,0.6216875941957956,0.4496795610341516,1478.0,"(0.43886817497300756, 0.0006378052997004037)"
0,0.8443772908497759,0.6470787187294765,0.25053773048077466,0.3362371211294482,912.0,"(0.5782425683119305, 2.4695270320018915e-06)"
0,0.7159898197935004,0.6223651196016885,0.9192387285612581,0.44300819402617553,1080.0,"(0.5632036254439142, 5.094436452016338e-06)"
0,0.9237648707763272,0.4915071113557402,0.13823173179076254,0.26685099869896123,1239.0,"(0.6670575483575831, 1.4634097296023596e-08)"
0,0.6793818631842677,0.046189927679224016,0.9706979324291592,0.08831165888039887,1470.0,"(0.5593244529068716, 6.105709902634281e-06)"
0,0.8374760225225913,0.9022044697669155,0.6573866425978911,0.4731746441822242,1487.0,"(0.6815923228546354, 5.3362515679329015e-09)"
0,0.11113511099838969,0.9884084119492205,0.4082109375090843,0.7835102779211505,650.0,"(0.5862596898485225, 1.6537678521116644e-06)"
0,0.9219403278867019,0.7679184651709194,0.13269218210148795,0.29368017644683736,1078.0,"(0.4970493772218497, 8.385562798213361e-05)"
0,0.1735493970506281,0.5765241947214671,0.5006112929310181,0.2154413939418052,996.0,"(0.4012734411306524, 0.0019776243137043263)"
0,0.4684250902245709,0.23332987353991544,0.7541793355558232,0.17812158762836935,1384.0,"(0.37880594013757585, 0.0036643688597622)"
0,0.20741781519629776,0.629757999386809,0.9666661807968485,0.2411766375778821,1000.0,"(0.7288761258854451, 1.291998505530972e-10)"
0,0.5238101818361394,0.06414293464847563,0.7609968933863542,0.45144082870719143,1126.0,"(0.6935615365981183, 2.224799476979076e-09)"
0,0.7425694596848046,0.7466239988657,0.9975325164505398,0.09514487130738085,1034.0,"(0.5661593693052569, 4.4310416952199005e-06)"
0,0.17064014692728346,0.018590486488094637,0.6152107896295829,0.5496306311973743,1312.0,"(0.49323521635050827, 9.688427239855757e-05)"
0,0.24125721827366875,0.33813713749227886,0.09905715192558319,0.7263167897160226,928.0,"(0.6975772368070371, 1.6432149283361839e-09)"
0,0.4799539743580131,0.18440913044417642,0.6900373876750837,0.19036390642110615,1522.0,"(0.4767717085877153, 0.00017728044866212913)"
0,0.3103753618753602,0.7130232381005986,0.3536280275067051,0.4541485642819033,1294.0,"(0.605250879023263, 6.120391364382329e-07)"
0,0.10214467129294835,0.6515454336749384,0.4643629324488331,0.08206542738474047,982.0,"(0.5168085053515216, 3.8585673599736676e-05)"
0,0.4759776812148775,0.4242595455845853,0.234276625394104,0.4676556533817721,1115.0,"(0.5006538169337295, 7.304226022905197e-05)"
0,0.8370580127693155,0.06587644096413248,0.7741794381514179,0.20793185269044845,952.0,"(0.4603899780484261, 0.00031398209895117855)"
0,0.7729096959297115,0.0776195569949756,0.26462751097573634,0.5033370823111029,1172.0,"(0.07008857477443518, 0.6044082300207761)"
0,0.833655605362756,0.7959919555454779,0.9591021490951293,0.6330159517729893,1037.0,"(0.5407455932064122, 1.4093179989718365e-05)"
0,0.8451058003124777,0.3734908885907285,0.7664804771357606,0.9970611357218321,1381.0,"(0.3733262660616504, 0.004232258705674731)"
0,0.5862444514133475,0.7606482671084973,0.021026536041237377,0.5059842319756549,1048.0,"(0.39096777805684296, 0.002638145551691913)"
0,0.1993844215203816,0.8175457124943669,0.5785230220574319,0.7420258600046953,1291.0,"(0.44270172526426377, 0.0005640720110389558)"
0,0.8487077821039672,0.4236861330210961,0.9720070830244,0.6433521711192279,1307.0,"(0.4606152096588684, 0.0003115843293094775)"
0,0.4463307113431736,0.5355040131138638,0.16829827529870542,0.09167879237076029,827.0,"(0.6562028517408256, 2.999953747666677e-08)"
0,0.14374130443273458,0.0487093246851456,0.3637556449887845,0.37137954224195635,1344.0,"(0.3816023527279815, 0.0034014006007116997)"
0,0.7538286660877668,0.9466536890488774,0.21606781445996273,0.28614494064471435,1117.0,"(0.6803553540837114, 5.827596317876784e-09)"
0,0.20943027827507688,0.08826354068470058,0.15702468336066921,0.6988586030574486,1511.0,"(0.5759492273978213, 2.764275175318299e-06)"
0,0.9310314369665866,0.2418961819738666,0.6629167383805799,0.7137748203118495,812.0,"(0.52807899973738, 2.4243407141222407e-05)"
0,0.49319440916693,0.34941708332063665,0.43751116435981297,0.20701780364649217,912.0,"(0.4903288910451844, 0.00010803163800706214)"
0,0.8981022556203839,0.4560661863799103,0.08541249115811841,0.03620404600844754,1427.0,"(0.3480227539050949, 0.007982898603657624)"
0,0.26061802768123565,0.5189486076865654,0.3799269581989708,0.5171689763925479,861.0,"(0.5823948438082522, 2.009103158878168e-06)"
0,0.009852559820676676,0.8849949642949633,0.9308906722215999,0.8873884089602408,1204.0,"(0.5969348930701073, 9.533012876292932e-07)"
0,0.4620005878515676,0.22441618385202242,0.6696082832894472,0.013164037359122513,1262.0,"(0.5790756041162333, 2.3699249435956746e-06)"
0,0.6031168268825957,0.5477705291781365,0.6455436293769976,0.5747764978852702,1329.0,"(0.5376605694312687, 1.611623454114217e-05)"
0,0.9642862613910346,0.6348806349162112,0.6122764660044142,0.6669465506645318,1317.0,"(0.6926107548013029, 2.3885706087686757e-09)"
0,0.731939258349977,0.9364250609735136,0.6142786199702629,0.5872107996853935,1043.0,"(0.5609242497429223, 5.667931635207218e-06)"
0,0.1188228569913593,0.8997628788116355,0.6854608265049127,0.2585941903221026,1219.0,"(0.5041509497821927, 6.379049254318722e-05)"
0,0.42464565973939694,0.21995508072508488,0.505410309307581,0.10355650747759094,1722.0,"(0.4294879174177651, 0.0008563222375726616)"
0,0.5773093312334975,0.19688613238015187,0.8748208364612029,0.2883693613754539,1044.0,"(0.4461419672508481, 0.0005045690131615934)"
0,0.5328544026655262,0.15576780643852586,0.38465066644356377,0.10819378948952119,1145.0,"(0.6188175048905046, 2.8892386904851977e-07)"
0,0.44789682941343456,0.5196531982772631,0.2891843192584575,0.38865387420970615,898.0,"(0.5252518211406608, 2.7283372212836957e-05)"
0,0.21780210096756403,0.2360588462444038,0.5014754053205436,0.06326234633030468,1316.0,"(0.41142967747047654, 0.001475314620471162)"
0,0.6955297907078556,0.763802026801583,0.18981325345201028,0.40121732732124843,1411.0,"(0.29042439607189546, 0.02841177349889488)"
0,0.09814492407445485,0.39122742884851475,0.11145601569605698,0.5683422483107975,1058.0,"(0.46228868059967954, 0.0002942842605123426)"
0,0.9705339156817374,0.4189391109224,0.10081572629618767,0.3925940666035563,1498.0,"(0.2502202419731037, 0.060483504029261954)"
0,0.8222976885922932,0.6167754456386779,0.8286377330123526,0.9141669648398524,877.0,"(0.38838942472170285, 0.0028313800365153663)"
0,0.6127359674037848,0.7331301236355809,0.10047482355344439,0.6117052693270081,1474.0,"(0.40384095084448446, 0.0018379956226417984)"
0,0.28184114451721887,0.22427652311030863,0.47103390218021096,0.35177400377011375,1500.0,"(0.6888263104206668, 3.160562585481165e-09)"
0,0.7396058765029635,0.9071911924100591,0.45960026293007483,0.2596798324915594,1206.0,"(0.5891533175408679, 1.427151812543003e-06)"
0,0.22418695123137933,0.48547883130703545,0.5453596148428115,0.2338176856408193,907.0,"(0.4084951996957538, 0.0016071650320724174)"
0,0.23561560508989632,0.7177771869287378,0.1743914564927853,0.8134169547138494,1232.0,"(0.41716846866536794, 0.00124512404709483)"
0,0.06795888399711147,0.8767576486458734,0.433929340679847,0.5710618860933242,1059.0,"(0.40098771897897756, 0.0019937336270899027)"
0,0.2701531454578565,0.7271409194435191,0.705903694922548,0.79727951169865,706.0,"(0.6966916083014545, 1.7575215342970481e-09)"
0,0.07803276974947115,0.9288625941276187,0.4907069436211644,0.5694995605840821,1230.0,"(0.7155707876639564, 3.9689024236298307e-10)"
0,0.9497843943088939,0.8214375296193148,0.5963923605533675,0.5195756881012947,996.0,"(0.6295745817836906, 1.5527898795510813e-07)"
0,0.15053308051653902,0.14243108707447785,0.09025073113249538,0.9295628711951629,584.0,"(0.6001158373061087, 8.058575618520468e-07)"
0,0.32133662668617013,0.5611221832373149,0.24832780345336453,0.029509182645063574,1170.0,"(0.6479291423973584, 5.086481602713657e-08)"
0,0.12875099776714072,0.06590023364826948,0.1765528660142682,0.01582624667623729,1501.0,"(0.5837237521388311, 1.8795788067692397e-06)"
0,0.9527566622199775,0.5978247459702527,0.07039993534575453,0.5144475240352977,1434.0,"(0.4883235466449041, 0.00011639628774995214)"
0,0.06616970181894499,0.16201402704139503,0.746763031768675,0.6551163829768956,1158.0,"(0.3255311822034151, 0.01347479266242626)"
0,0.019672959872915396,0.010594100256036992,0.37193093436439684,0.4895057515930965,888.0,"(0.6412985012521604, 7.677681443131368e-08)"
0,0.1341643964453051,0.5692848795063604,0.7917262495185667,0.24431402512630432,1524.0,"(0.4918974289515953, 0.00010187727542476276)"
0,0.46137597097325356,0.06618178256044134,0.35699602469677355,0.1005062256683101,1021.0,"(0.48608976615223665, 0.0001264099816665658)"
0,0.8213491916770929,0.8980872390824128,0.327152805840688,0.330750571754125,1220.0,"(0.4500486083318869, 0.00044393864609536797)"
0,0.02275721085199156,0.5230837096928639,0.023541829137108783,0.09464728795755747,1204.0,"(0.5177201424312188, 3.7184762303827716e-05)"
0,0.07512187640915069,0.4458294127573533,0.30189608883437924,0.4080216490684631,1188.0,"(0.6538771757219843, 3.4856134746513186e-08)"
0,0.22201291938999856,0.9218645785324479,0.9507783733926582,0.25930434901159893,1094.0,"(0.4973290734966699, 8.296665345394917e-05)"
0,0.7936027459521541,0.11970433030057524,0.6269645542832634,0.3102404106195516,939.0,"(0.7177461535585432, 3.317997836262407e-10)"
0,0.18701392474410616,0.8894909261248941,0.9193901204835371,0.8301096339321562,1059.0,"(0.6388653886259105, 8.907875816529035e-08)"
0,0.4534754845362624,0.8393984266590755,0.8840962668655074,0.14619156846197265,1389.0,"(0.6288202836748975, 1.62314661209924e-07)"
0,0.7149894882318095,0.31461583520613945,0.8694484128263544,0.12923627514965907,1173.0,"(0.3661040444559587, 0.005098535917105497)"
0,0.41088968464076514,0.8910562163187394,0.9681317795122729,0.9466741801922319,1173.0,"(0.5189294415300043, 3.539881729674539e-05)"
0,0.8733790908568414,0.574733989642158,0.4023700419889957,0.06113286131879855,847.0,"(0.47893734021064943, 0.0001640208892504154)"
0,0.4547094642245998,0.6414719685710432,0.32616902849440255,0.5857834469383684,1268.0,"(0.5600181664588502, 5.912152689730976e-06)"
0,0.44957751428759807,0.5345831889913039,0.47967545966092606,0.9588581943720627,1595.0,"(0.5306708525761705, 2.173478191583098e-05)"
0,0.141923643611364,0.53953004305656,0.925741647234528,0.5986729166583519,1031.0,"(0.6903029014087207, 2.8348324840763424e-09)"
0,0.17086458203005206,0.21000039123110614,0.5531388426468323,0.5779303473771805,1548.0,"(0.42694085059450687, 0.0009263020980735168)"
0,0.18930800117192037,0.5497472188431379,0.27589436641070025,0.13559632777472963,964.0,"(0.6500608540934616, 4.446359482033016e-08)"
0,0.6101518924909299,0.9634829715162846,0.4774637000444837,0.8893375700033456,1321.0,"(0.2904740624278352, 0.028383465685702193)"
0,0.13832551292678952,0.42608646414895335,0.1479643872460562,0.8563706429770299,1035.0,"(0.6702314016692321, 1.1796995637139122e-08)"
0,0.6375929090969221,0.05705446974431991,0.2600837037531413,0.8651789079091029,1142.0,"(0.3578831446584023, 0.006270915889673845)"
0,0.4600310607119248,0.9520220983098953,0.14304416239673126,0.48476121481810996,1324.0,"(0.7674790110693239, 3.3075151124543027e-12)"
0,0.001624282908292085,0.23618210802680858,0.182487991197403,0.3437177413050501,1061.0,"(0.5384587285481688, 1.5568500766567757e-05)"
0,0.7984356083966643,0.13071035795106922,0.6860342021303527,0.037177886961169894,998.0,"(0.504719945016997, 6.23914903621428e-05)"
0,0.9057778415870441,0.856336562121847,0.44105100564514166,0.06533818794310772,1133.0,"(0.6076159826158101, 5.383190936552559e-07)"
0,0.9720903398102217,0.1832882979581942,0.06260499218706794,0.5712528908128295,1092.0,"(0.5093907230925686, 5.1930307957051115e-05)"
0,0.5760719908720096,0.7569157052564957,0.4794134604751171,0.23413539084714977,1305.0,"(0.6187676522582976, 2.8974078670075686e-07)"
0,0.14628867844617255,0.2668409120647856,0.14055852972290167,0.9716494926261782,1077.0,"(0.6127856885191642, 4.0514729554219816e-07)"
0,0.6169671318935108,0.9399497352701864,0.5460220869265483,0.24421229650415716,1329.0,"(0.6891897932367171, 3.0772452964404723e-09)"
0,0.14117154546950728,0.5369752667878753,0.90788470381492,0.4145025110542019,1288.0,"(0.590666703573047, 1.3205275935512985e-06)"
0,0.9556019439148924,0.09453901774148253,0.633283134481185,0.6482631455347089,1385.0,"(0.4283896158659892, 0.0008858911818129771)"
0,0.9968918429532752,0.17087112492251083,0.1630649869309626,0.10047268112823916,1128.0,"(0.6298537181382274, 1.5274878985816917e-07)"
0,0.7177262913371879,0.38698668669477587,0.5324366446357861,0.7854332396485342,1206.0,"(0.4416707950410897, 0.0005831012328818142)"
0,0.02524086048446017,0.3477914565969792,0.17883642041524228,0.8125541497876105,1824.0,"(0.16421252233873457, 0.22223107735656553)"
0,0.9237313653116433,0.6993655625964708,0.8616845184603887,0.2615273037355991,1076.0,"(0.5609144887273919, 5.670511805133923e-06)"
0,0.42688790450804603,0.7035884706872446,0.8076619171619118,0.6130432140226393,1016.0,"(0.5541870178541006, 7.733440391020672e-06)"
0,0.3168350885175366,0.23620637087558607,0.6397239846841172,0.6933811287216813,1063.0,"(0.6939571025055298, 2.1598439596128767e-09)"
0,0.7870682306072436,0.4949799519089656,0.038139057595694005,0.177365195566855,1207.0,"(0.8065089621115922, 3.6766031577149084e-14)"
0,0.9170268006635406,0.10992863096862468,0.9402606386769288,0.8202779647703394,1154.0,"(0.3491521883947221, 0.007768115326483871)"
0,0.1280741794238881,0.43296272719135337,0.6950617954224141,0.8958834981240291,1098.0,"(0.5590263108810759, 6.19069344663123e-06)"
0,0.6994539037339874,0.8625152698876906,0.3558891178473692,0.3801084339972264,1062.0,"(0.4862098985086525, 0.00012585198211872728)"
0,0.6573333034141348,0.7388717175162596,0.6836680250947789,0.2142063985611195,1365.0,"(0.5353551955163842, 1.7800162614826348e-05)"
0,0.7853550783993646,0.3981645132927915,0.40933072310591107,0.3188664236552301,1208.0,"(0.2529792119170012, 0.0576107561908481)"
0,0.12148635037178135,0.8882679988047968,0.134193234827358,0.006185016973940165,1076.0,"(0.346109248729831, 0.008358599453319895)"
0,0.02445954419707297,0.39525180955173445,0.011412352672303894,0.7893161220032279,1387.0,"(0.5370025707950126, 1.6581151480629926e-05)"
0,0.30834306746667717,0.8232267727188306,0.432139442746034,0.25183557568471177,1258.0,"(0.4365529805924489, 0.0006864501667357246)"
0,0.2958426397655446,0.2787183368210432,0.1090219139164611,0.13275712491689393,1047.0,"(0.6199094356744654, 2.7156378290899943e-07)"
0,0.996447639014349,0.9527728772878338,0.01167111667601363,0.21377822773199223,1225.0,"(0.24466826824426913, 0.06661410996357295)"
0,0.7070720033750991,0.19307122718237898,0.2738128041749506,0.07611148790393629,1301.0,"(0.5076779618171245, 5.5562677228016824e-05)"
0,0.5988902886598706,0.7860875853257169,0.05775951222149539,0.21897809838966228,1189.0,"(0.43968878933369543, 0.0006213261430736463)"
0,0.6379898326887203,0.09830026087493779,0.8379102265001528,0.4697527492325895,1189.0,"(0.4781283914481906, 0.00016886389499274238)"
0,0.4575846114537869,0.3891001819869368,0.39083674595732865,0.038428691564342234,1001.0,"(0.4369388104020978, 0.0006781175784355716)"
0,0.7293726878410387,0.053588063269022365,0.861086872391728,0.9419016905200925,1292.0,"(0.5250235924896064, 2.7543539445858877e-05)"
0,0.923897025735669,0.589594331827457,0.5670928301022264,0.8820483812593526,985.0,"(0.6227172514167436, 2.3131127303302717e-07)"
0,0.8812951551608218,0.31189201008998074,0.7163727675794754,0.03566979032912445,1070.0,"(0.4798705720942611, 0.00015859182631017892)"
0,0.4092343554251059,0.2508848959800758,0.7460531628994368,0.5235391848802455,752.0,"(0.7005327295872844, 1.3105815797623906e-09)"
0,0.06437783446171452,0.9488660428553044,0.7225202559726089,0.37621012035846463,1460.0,"(0.5489833303368519, 9.786144377026592e-06)"
0,0.11286848123881399,0.23384801966373023,0.8651351473822262,0.6861682622042721,819.0,"(0.5368730369806154, 1.6674126222598888e-05)"
0,0.8509129514679519,0.029512993523175192,0.4264741991734946,0.47629612411129296,1187.0,"(0.4832790341688454, 0.00014013013859486118)"
