,trueAlpha,trueTau,recovAlpha,recovTau,cost,r
0,0.8699364491875814,0.1519420506042299,0.6590180016341378,0.08030052519948333,232.0,0.8906647525754893
1,0.8942141148346969,0.1956264557145746,0.9738995901184015,0.175822723931758,486.0,0.7883079758636232
2,0.11703026754505985,0.26682655115954607,0.7275323671947282,0.08891187480288923,1009.0,0.7181541966100083
3,0.64436840651659,0.4263202898882126,0.40539170356957543,0.16622094098991713,1162.0,0.39073157379381496
4,0.4635594309219323,0.9396714385528859,0.5585331213549449,0.3349732571367046,1348.0,0.5919324034485703
5,0.7222231754029015,0.8625927371030258,0.16399685990447083,0.0877331421992942,886.0,0.7275317781400401
6,0.20060095668121203,0.3359984515405226,0.9063012803381513,0.6558744243542045,697.0,0.6185368668542679
7,0.5123143425094333,0.1635110548131427,0.2865326452395998,0.1057784105680556,866.0,0.5550465047490908
8,0.4110418169995572,0.7531674842572235,0.8825621426309035,0.8385085080527204,1109.0,0.35028452764097917
9,0.8949224451324269,0.9843641295505878,0.12615174398884763,0.3923706298642511,861.0,0.43019985488034174
10,0.2587795908716676,0.03736170056427781,0.3376617862996811,0.05846221485151253,519.0,0.7971543251037493
11,0.6073887311684226,0.3642538590353013,0.547024917624212,0.15352384829699225,772.0,0.5875873453971485
12,0.6273032289531189,0.9955377410001465,0.7447450656248488,0.21554513271430698,1069.0,0.7495556255651693
13,0.11576025295865922,0.9040034873095933,0.15369287210980775,0.023803388621910105,795.0,0.8435624248905972
14,0.08529809513934339,0.5592917111009843,0.6298244326018277,0.38838709596535426,949.0,0.6632562282874549
15,0.6391260039733028,0.8355771222565702,0.6600222395738802,0.4833554189109964,1307.0,0.4634812657978272
16,0.5702051267918264,0.9125430642700476,0.5266071021038966,0.8914937411582611,1046.0,0.7218848118798394
17,0.6483803530698251,0.16860240546792443,0.36863532372445046,0.09381835250827159,933.0,0.6991098600035205
18,0.7561853656215544,0.5865981659010462,0.7002787906056522,0.15645322527246505,882.0,0.4223345106893088
19,0.1817847259300499,0.2794360149047895,0.07293460063251073,0.491451699166279,1287.0,0.5033310530131982
20,0.8131378479218939,0.6301450272616617,0.961210984735276,0.4856035505094331,743.0,0.6545460150713223
21,0.652136970752291,0.09207731076566987,0.6338261688477067,0.058183047693930554,658.0,0.8868192587735239
22,0.011422529484472421,0.6832827002925952,0.11274030302382902,0.680745330578908,967.0,0.6527920728010319
23,0.6414548036935259,0.12167365234848777,0.5261345045904047,0.04358861678675116,527.0,0.8156987897122199
24,0.3505980225988783,0.6547664987285168,0.6622944278688637,0.7533191002055336,936.0,0.5088282791963801
25,0.3119406290218497,0.01558134797376081,0.24962097361155028,0.021532441104643224,24.0,0.9298962952937846
26,0.47561673230889456,0.34156126549212296,0.33405687394938804,0.6423698668825215,1371.0,0.5917631163915447
27,0.6279761650675186,0.5521453335468908,0.17200886679879399,0.42114594172516645,990.0,0.42843511714503807
28,0.2005282422276743,0.7437714872136022,0.6406443486300561,0.2200289427458154,829.0,0.6652953899041056
29,0.637437279541968,0.04257270647636205,0.4932459375891355,0.028178913498916935,299.0,0.8987058552319415
30,0.4069324892539732,0.005868309424957964,0.3726935007341586,0.0010002450890487578,44.0,0.982033516105113
31,0.9594603479199878,0.460127769146115,0.20123342320099333,0.552589803675726,888.0,0.5039747668254037
32,0.5831775816279464,0.7604598029404879,0.9206831233088537,0.23865940403806915,743.0,0.6147997709595743
33,0.9189451767990928,0.6441195251791474,0.2596821230811843,0.3060842110759709,718.0,0.5708259278185929
34,0.5325821764972334,0.12016635507642318,0.7895442128515089,0.27063951787208157,688.0,0.562968936693334
35,0.2901376670040764,0.7254997896656881,0.4890262480107317,0.12159616263630184,1067.0,0.4435222840865082
36,0.23763121312017865,0.5204975014219622,0.9306009933727808,0.39305576423421734,1112.0,0.41334561641753975
37,0.21154724546357695,0.02196956799636047,0.6285674464366058,0.022998278286859034,0.0,0.9552040932928567
38,0.7290537180866988,0.5200183428922868,0.25790407407183785,0.10456973257038633,1198.0,0.471673633438443
39,0.7038635064879731,0.8866169075332542,0.09072941195165572,0.305550656237857,793.0,0.351184712270353
40,0.48798875308482337,0.2998468079367076,0.4991167233841581,0.5587819763489663,870.0,0.30031362521320965
41,0.5974210468484695,0.9815674932284344,0.48088554645489673,0.8798229257468464,1176.0,0.4983440917639389
42,0.001893895254993283,0.6509298996185873,0.4332841435629495,0.7521808267238786,1121.0,0.6636210076833657
43,0.8673824993942488,0.6679745649004202,0.7673311518159636,0.37395874429915826,1107.0,0.3627672441792979
44,0.887625591219541,0.4520437004053459,0.8657995216291159,0.07070463840867153,613.0,0.7945149923621736
45,0.47919037738936976,0.7343664691676669,0.5005909452196321,0.944476896339937,1275.0,0.35448480975733454
46,0.5003398726424008,0.35483746017106205,0.657657909553179,0.13775150241150727,787.0,0.6141875564259155
47,0.06145702087455884,0.027464696654022243,0.08206384652610572,0.05742561755908453,8.0,0.93588167779579
48,0.5761615243604097,0.14428165140256896,0.9166026203798258,0.2300575249223803,271.0,0.718930320894899
49,0.6243932782878583,0.402928401900627,0.9840846313121034,0.3505063556708371,711.0,0.6129847310237582
50,0.8606997802355392,0.7579422751083648,0.521335535075956,0.9972369761358584,1246.0,0.582816421755414
51,0.14944737211314318,0.7511153472434835,0.2868631340923655,0.9279377288473278,1148.0,0.2936317609185491
52,0.5661001828428797,0.027228730615595793,0.7161251777084302,0.07832421872062194,282.0,0.7538786358953918
53,0.6467416901462855,0.8535269780835235,0.07460306700589876,0.7194270757353411,1038.0,0.495957892118433
54,0.27482760598246647,0.6699356616873622,0.3711424050591677,0.5208560244345937,1068.0,0.3382905056056333
55,0.7396012870240429,0.4701631015058042,0.03704298268324601,0.14103888466019252,897.0,0.44619619848802755
56,0.32811324997441527,0.6661774656428704,0.20278277913781967,0.9029086251071102,1261.0,0.5293519487851617
57,0.8009777097156154,0.1375319967281544,0.7247962829638184,0.050952990364182715,820.0,0.844934121642618
58,0.1593680357922319,0.9538313334431773,0.11544725665686181,0.12073163378369418,1062.0,0.7326813419311523
59,0.6424618274427114,0.7517648692525322,0.38575297845957607,0.33659641007938396,1417.0,0.4058309533690074
60,0.28550576394798166,0.4631630927881894,0.8392950353414663,0.12411506717375334,965.0,0.6852438109586607
61,0.8436368903229565,0.8222644216670725,0.14730198811684814,0.6458224075234761,1366.0,0.4687098965441965
62,0.505841996229582,0.21922643622281765,0.2489924275284493,0.1450369017817618,788.0,0.4068895310020429
63,0.20104878267852266,0.9759331942688935,0.9192386060692697,0.836636475181406,1142.0,0.6069466113860111
64,0.902065911026474,0.33441769261744697,0.42171988324860654,0.26818799020456346,463.0,0.7893202571057949
65,0.8066355279278149,0.3337184723256893,0.385119862684437,0.21196650428947258,734.0,0.6958160443546695
66,0.839931667464283,0.9699355700144018,0.6299633876997932,0.16784753311104758,1123.0,0.7538935934162813
67,0.467141757684858,0.30986360571418986,0.25158191042039024,0.077518036858566,1064.0,0.6455049996150178
68,0.5526118708774647,0.937654791619355,0.2180045565409261,0.770356013747747,873.0,0.6615477668603008
69,0.920842187281981,0.39307358505948725,0.4954574425364557,0.562170553205352,1059.0,0.4356322503521633
70,0.7854530372824445,0.7391857069272703,0.022726949450297622,0.7455203145274772,926.0,0.352851349539885
71,0.5297839483109218,0.22711190985507698,0.48277225613828556,0.6725162116342545,971.0,0.528043794420839
